rank,kanji,weighted_freq,weighted_freq_pct,cum_pct,word_count
305,色,0.000361,0.0845,77.0780,2
306,発,0.000360,0.0843,77.1623,6
307,姉,0.000358,0.0839,77.2461,5
308,報,0.000358,0.0837,77.3299,3
309,第,0.000356,0.0834,77.4132,2
310,京,0.000356,0.0833,77.4965,4
311,荷,0.000356,0.0833,77.5798,3
312,郎,0.000353,0.0826,77.6624,2
313,東,0.000350,0.0819,77.7444,2
314,能,0.000349,0.0818,77.8262,4
315,的,0.000348,0.0814,77.9076,2
316,免,0.000345,0.0808,77.9883,1
317,逃,0.000344,0.0805,78.0688,1
318,界,0.000339,0.0795,78.1483,2
319,韃,0.000338,0.0790,78.2273,1
320,靼,0.000338,0.0790,78.3064,1
321,致,0.000336,0.0787,78.3851,2
322,恋,0.000335,0.0783,78.4634,3
323,任,0.000334,0.0782,78.5416,3
324,記,0.000334,0.0782,78.6198,4
325,帯,0.000334,0.0781,78.6979,3
326,組,0.000333,0.0781,78.7759,4
327,刑,0.000333,0.0780,78.8539,2
328,題,0.000331,0.0776,78.9315,1
329,送,0.000330,0.0772,79.0087,2
330,亡,0.000327,0.0766,79.0854,3
331,業,0.000326,0.0764,79.1618,6
332,読,0.000326,0.0764,79.2382,2
333,絡,0.000325,0.0762,79.3144,2
334,情,0.000325,0.0760,79.3904,3
335,空,0.000323,0.0757,79.4661,3
336,訳,0.000323,0.0756,79.5417,5
337,昨,0.000323,0.0755,79.6172,2
338,小,0.000322,0.0754,79.6927,6
339,料,0.000322,0.0754,79.7681,3
340,返,0.000321,0.0752,79.8433,3
341,鼻,0.000318,0.0744,79.9177,1
342,怖,0.000316,0.0741,79.9917,1
343,証,0.000316,0.0740,80.0658,3
344,苦,0.000316,0.0740,80.1397,5
345,木,0.000315,0.0737,80.2134,4
346,止,0.000315,0.0736,80.2871,4
347,円,0.000314,0.0734,80.3605,3
348,遅,0.000313,0.0732,80.4336,2
349,許,0.000311,0.0729,80.5066,2
350,主,0.000311,0.0729,80.5794,4
351,客,0.000309,0.0723,80.6517,3
352,韻,0.000307,0.0720,80.7237,1
353,仲,0.000306,0.0717,80.7954,3
354,氏,0.000306,0.0715,80.8669,3
355,夢,0.000305,0.0715,80.9384,1
356,選,0.000303,0.0708,81.0092,3
357,由,0.000302,0.0707,81.0800,2
358,労,0.000301,0.0706,81.1505,3
359,課,0.000301,0.0705,81.2211,2
360,不,0.000299,0.0700,81.2911,5
361,働,0.000297,0.0696,81.3606,1
362,集,0.000289,0.0678,81.4284,5
363,普,0.000287,0.0672,81.4956,2
364,閉,0.000287,0.0671,81.5627,3
365,添,0.000282,0.0661,81.6288,1
366,困,0.000282,0.0660,81.6948,2
367,壮,0.000282,0.0660,81.7608,1
368,突,0.000279,0.0654,81.8262,2
369,携,0.000279,0.0653,81.8914,2
370,請,0.000278,0.0650,81.9565,1
371,優,0.000277,0.0647,82.0212,3
372,字,0.000275,0.0645,82.0857,2
373,昔,0.000275,0.0644,82.1501,1
374,傷,0.000275,0.0644,82.2145,3
375,里,0.000269,0.0630,82.2776,2
376,月,0.000269,0.0630,82.3405,3
377,師,0.000267,0.0625,82.4030,3
378,街,0.000266,0.0622,82.4652,1
379,葉,0.000265,0.0620,82.5272,1
380,歳,0.000264,0.0618,82.5890,1
381,濃,0.000264,0.0618,82.6508,1
382,応,0.000264,0.0617,82.7125,4
383,車,0.000262,0.0614,82.7739,2
384,指,0.000260,0.0610,82.8349,4
385,敵,0.000260,0.0608,82.8957,2
386,短,0.000259,0.0606,82.9563,1
387,季,0.000258,0.0604,83.0167,1
388,談,0.000258,0.0604,83.0771,2
389,弟,0.000258,0.0603,83.1374,3
390,成,0.000253,0.0593,83.1966,4
391,賭,0.000252,0.0590,83.2556,1
392,寝,0.000251,0.0588,83.3144,1
393,謝,0.000247,0.0579,83.3723,2
