rank,word,frequency,cum_pct,region
310,心配,0.00040424,55.8635,R2
311,必要,0.00040225,55.9037,R2
312,積もる,0.00040017,55.9437,R2
313,みた,0.00039999,55.9837,R2
314,著,0.00039964,56.0237,R2
315,のために,0.00039609,56.0633,R2
316,あって,0.00039565,56.1029,R2
317,どんな,0.00039497,56.1424,R2
318,かね,0.00039351,56.1817,R2
319,万,0.00039245,56.2210,R2
320,できる,0.00039221,56.2602,R2
321,わよ,0.00039207,56.2994,R2
322,フッ,0.00039133,56.3385,R2
323,店,0.00038843,56.3774,R2
324,全部,0.00038773,56.4161,R2
325,ゆって,0.00038720,56.4549,R2
326,はあ,0.00038550,56.4934,R2
327,過ぎる,0.00038438,56.5318,R2
328,ぜ,0.00038347,56.5702,R2
329,気,0.00038127,56.6083,R2
330,全然,0.00037910,56.6462,R2
331,家族,0.00037889,56.6841,R2
332,体,0.00037734,56.7218,R2
333,だったら,0.00037713,56.7596,R2
334,さあ,0.00037690,56.7973,R2
335,だれか,0.00037655,56.8349,R2
336,渡す,0.00037402,56.8723,R2
337,心,0.00037385,56.9097,R2
338,者,0.00037347,56.9470,R2
339,焚く,0.00037335,56.9844,R2
340,どうも,0.00037250,57.0216,R2
341,気持ち,0.00037086,57.0587,R2
342,手,0.00037065,57.0958,R2
343,これから,0.00037036,57.1328,R2
344,負う,0.00037021,57.1698,R2
345,餡,0.00036918,57.2068,R2
346,これで,0.00036857,57.2436,R2
347,常,0.00036745,57.2804,R2
348,なぜ,0.00036733,57.3171,R2
349,助ける,0.00036555,57.3536,R2
350,電話,0.00036546,57.3902,R2
351,忘れる,0.00036505,57.4267,R2
352,呼ぶ,0.00036481,57.4632,R2
353,殿,0.00036455,57.4996,R2
354,なあ,0.00036232,57.5359,R2
355,名前,0.00036097,57.5720,R2
356,いつも,0.00036026,57.6080,R2
357,ですから,0.00035944,57.6439,R2
358,区,0.00035577,57.6795,R2
359,光,0.00035478,57.7150,R2
360,かもしれない,0.00035387,57.7504,R2
361,陽,0.00035346,57.7857,R2
362,次,0.00035214,57.8209,R2
363,入れる,0.00035214,57.8561,R2
364,一番,0.00035090,57.8912,R2
365,鳴く,0.00035088,57.9263,R2
366,守る,0.00034870,57.9612,R2
367,まさか,0.00034821,57.9960,R2
368,だが,0.00034621,58.0306,R2
369,御免なさい,0.00034492,58.0651,R2
370,逃げる,0.00034401,58.0995,R2
371,相手,0.00034298,58.1338,R2
372,お願い,0.00034216,58.1680,R2
373,陽に,0.00034087,58.2021,R2
374,かも,0.00034081,58.2362,R2
375,そうか,0.00033984,58.2702,R2
376,なきゃ,0.00033949,58.3041,R2
377,しか,0.00033885,58.3380,R2
378,韃靼,0.00033755,58.3718,R2
379,大事,0.00033547,58.4053,R2
380,茶,0.00033494,58.4388,R2
381,いいです,0.00033471,58.4723,R2
382,１人,0.00033354,58.5056,R2
383,私たち,0.00033198,58.5388,R2
384,問題,0.00033142,58.5720,R2
385,見せる,0.00033136,58.6051,R2
386,幸せ,0.00032846,58.6380,R2
387,以上,0.00032740,58.6707,R2
388,大変,0.00032676,58.7034,R2
389,友達,0.00032635,58.7360,R2
390,少し,0.00032459,58.7685,R2
391,絶対,0.00032327,58.8008,R2
392,など,0.00032233,58.8330,R2
393,部屋,0.00032092,58.8651,R2
394,っす,0.00031951,58.8971,R2
395,男性,0.00031898,58.9290,R2
396,ために,0.00031869,58.9608,R2
397,生む,0.00031790,58.9926,R2
398,鼻,0.00031781,59.0244,R2
399,ふふ,0.00031775,59.0562,R2
400,捕る,0.00031658,59.0879,R2
401,怖い,0.00031634,59.1195,R2
402,意味,0.00031532,59.1510,R2
403,きっと,0.00031490,59.1825,R2
404,取る,0.00031379,59.2139,R2
405,今度,0.00031341,59.2452,R2
406,変わる,0.00031276,59.2765,R2
407,野郎,0.00031226,59.3077,R2
408,第一,0.00031215,59.3389,R2
409,娘,0.00031212,59.3702,R2
410,とする,0.00031036,59.4012,R2
411,皆さん,0.00030986,59.4322,R2
412,もし,0.00030971,59.4631,R2
413,時に,0.00030830,59.4940,R2
414,初める,0.00030824,59.5248,R2
415,それに,0.00030813,59.5556,R2
416,調べる,0.00030748,59.5864,R2
417,韻,0.00030742,59.6171,R2
418,ぐらい,0.00030698,59.6478,R2
419,あんな,0.00030695,59.6785,R2
420,パパ,0.00030555,59.7091,R2
421,夢,0.00030525,59.7396,R2
422,実は,0.00030472,59.7701,R2
423,すか,0.00030437,59.8005,R2
424,動く,0.00030191,59.8307,R2
425,たら,0.00030155,59.8608,R2
426,なり,0.00029988,59.8908,R2
427,美味い,0.00029918,59.9207,R2
428,異,0.00029900,59.9506,R2
429,さっき,0.00029842,59.9805,R2
430,お金,0.00029839,60.0103,R2
431,別に,0.00029827,60.0401,R2
432,世界,0.00029806,60.0700,R2
433,働く,0.00029718,60.0997,R2
434,変,0.00029592,60.1293,R2
435,場所,0.00029510,60.1588,R2
436,いやいや,0.00029481,60.1883,R2
437,開く,0.00029445,60.2177,R2
438,致す,0.00029346,60.2470,R3
439,のだ,0.00028967,60.2760,R3
440,覚える,0.00028920,60.3049,R3
441,楽しい,0.00028914,60.3339,R3
442,刑事,0.00028853,60.3627,R3
443,ば,0.00028741,60.3914,R3
444,最後,0.00028733,60.4202,R3
445,始める,0.00028430,60.4486,R3
446,点,0.00028319,60.4769,R3
447,添う,0.00028240,60.5052,R3
448,壮,0.00028187,60.5334,R3
449,着る,0.00028163,60.5615,R3
450,わし,0.00028149,60.5897,R3
451,付ける,0.00028099,60.6178,R3
452,とも,0.00027990,60.6458,R3
453,請う,0.00027785,60.6735,R3
454,昨日,0.00027779,60.7013,R3
455,病院,0.00027656,60.7290,R3
456,決める,0.00027550,60.7565,R3
457,昔,0.00027521,60.7840,R3
458,連絡,0.00027497,60.8115,R3
459,どうした,0.00027433,60.8390,R3
460,もちろん,0.00027239,60.8662,R3
461,色々,0.00027116,60.8933,R3
462,関係,0.00027092,60.9204,R3
463,夜,0.00026834,60.9473,R3
464,人生,0.00026822,60.9741,R3
465,捜査,0.00026737,61.0008,R3
466,うさぎ,0.00026655,61.0275,R3
467,学校,0.00026646,61.0541,R3
468,続ける,0.00026597,61.0807,R3
469,街,0.00026558,61.1073,R3
470,ゆこう,0.00026541,61.1338,R3
471,言葉,0.00026497,61.1603,R3
472,ドア,0.00026450,61.1868,R3
473,歳,0.00026415,61.2132,R3
474,命,0.00026391,61.2396,R3
475,てるの,0.00026385,61.2660,R3
476,濃い,0.00026382,61.2923,R3
477,付き合う,0.00026382,61.3187,R3
478,達,0.00026359,61.3451,R3
479,許す,0.00026353,61.3714,R3
480,あの人,0.00026230,61.3977,R3
481,うわ,0.00026133,61.4238,R3
482,的,0.00026110,61.4499,R3
483,どの,0.00026051,61.4760,R3
484,売る,0.00026001,61.5020,R3
485,短打,0.00025895,61.5278,R3
486,言,0.00025866,61.5537,R3
487,ほど,0.00025857,61.5796,R3
488,決まる,0.00025845,61.6054,R3
489,季,0.00025793,61.6312,R3
490,残る,0.00025769,61.6570,R3
491,である,0.00025766,61.6827,R3
492,ではある,0.00025631,61.7084,R3
493,乗る,0.00025605,61.7340,R3
494,今回,0.00025532,61.7595,R3
495,父,0.00025520,61.7850,R3
496,外,0.00025464,61.8105,R3
497,日本,0.00025464,61.8360,R3
498,なくて,0.00025446,61.8614,R3
499,すぐ,0.00025411,61.8868,R3
500,元気,0.00025402,61.9122,R3
501,頑張って,0.00025361,61.9376,R3
502,賭ける,0.00025191,61.9628,R3
503,お疲れさま,0.00025133,61.9879,R3
504,寝る,0.00025115,62.0130,R3
505,どうしたの,0.00025033,62.0381,R3
506,教科書体,0.00025018,62.0631,R3
507,おいしい,0.00025006,62.0881,R3
508,我々,0.00025006,62.1131,R3
509,まず,0.00024918,62.1380,R3
510,こそ,0.00024915,62.1629,R3
511,食う,0.00024895,62.1878,R3
512,新しい,0.00024839,62.2127,R3
513,太い,0.00024830,62.2375,R3
514,去る,0.00024745,62.2622,R3
515,頭,0.00024684,62.2869,R3
516,詰まる,0.00024628,62.3115,R3
517,張る,0.00024593,62.3361,R3
518,すぐに,0.00024552,62.3607,R3
519,受ける,0.00024552,62.3852,R3
520,暮らす,0.00024552,62.4098,R3
521,最初,0.00024469,62.4343,R3
522,泣く,0.00024232,62.4585,R3
523,可愛い,0.00024202,62.4827,R3
524,勝手,0.00024191,62.5069,R3
525,困る,0.00024111,62.5310,R3
526,後,0.00023953,62.5549,R3
527,過渡,0.00023941,62.5789,R3
528,起きる,0.00023933,62.6028,R3
529,通る,0.00023842,62.6267,R3
530,撥ねる,0.00023824,62.6505,R3
531,生ける,0.00023812,62.6743,R3
532,上,0.00023789,62.6981,R3
533,まじ,0.00023742,62.7218,R3
534,もしもし,0.00023730,62.7456,R3
535,はず,0.00023698,62.7693,R3
536,底,0.00023686,62.7929,R3
537,笑う,0.00023630,62.8166,R3
538,わっ,0.00023525,62.8401,R3
539,普通,0.00023440,62.8635,R3
540,親,0.00023369,62.8869,R3
541,生徒,0.00023258,62.9102,R3
542,一つ,0.00023243,62.9334,R3
543,日文,0.00023193,62.9566,R3
544,写真,0.00023164,62.9798,R3
545,できない,0.00023082,63.0028,R3
546,先輩,0.00023064,63.0259,R3
547,必ず,0.00023023,63.0489,R3
548,あら,0.00022988,63.0719,R3
549,笑い声,0.00022979,63.0949,R3
550,ゆった,0.00022850,63.1177,R3
551,かたくな,0.00022838,63.1406,R3
552,怒る,0.00022826,63.1634,R3
553,遅い,0.00022818,63.1862,R3
554,おはようございます,0.00022747,63.2090,R3
555,み,0.00022747,63.2317,R3
556,糸,0.00022733,63.2545,R3
557,よろしく,0.00022703,63.2772,R3
558,このまま,0.00022680,63.2998,R3
